title,critic_score,critic_sentiment,audience_score,audience_sentiment
How to Rob a Bank,100%,positive,73%,positive
Big Momma's House,31%,negative,57%,negative
Operation Christmas Drop,50%,negative,43%,negative
Mosul,83%,positive,82%,positive
Naked,0%,negative,32%,negative
The Dirt,37%,negative,94%,positive
The Perfection,71%,positive,56%,negative
Trial by Fire,63%,positive,75%,positive
Crossroads,15%,negative,41%,negative
Hotel Transylvania 3: Summer Vacation,62%,positive,49%,negative
The Night Comes for Us,92%,positive,83%,positive
The Man From Toronto,24%,negative,46%,negative
The Princess Switch: Switched Again,56%,negative,35%,negative
The Strays,52%,negative,27%,negative
The Piano Lesson,88%,positive,64%,positive
A Deadly American Marriage,,,76%,positive
Hypnotic,25%,negative,25%,negative
Night of the Living Dead,95%,positive,87%,positive
Me Time,7%,negative,32%,negative
Chicken Run: Dawn of the Nugget,83%,positive,69%,positive
Sniper: The Last Stand,,,,
Wish Upon,20%,negative,31%,negative
Sister Act 2: Back in the Habit,19%,negative,61%,positive
The Sweetest Thing,25%,negative,64%,positive
After Everything,,,81%,positive
Eli,52%,negative,36%,negative
Paradise,55%,negative,59%,negative
Locked In,33%,negative,24%,negative
Here Comes the Boom,42%,negative,65%,positive
The Wedding Ringer,29%,negative,63%,positive
After Ever Happy,0%,negative,92%,positive
Kicking & Screaming,41%,negative,43%,negative
Murder Mystery 2,46%,negative,45%,negative
Night Teeth,38%,negative,49%,negative
The Golden Child,22%,negative,47%,negative
Mr. Harrigan's Phone,47%,negative,50%,negative
Some Other Woman,43%,negative,36%,negative
He's All That,29%,negative,23%,negative
Bird Box Barcelona,53%,negative,43%,negative
Faithfully Yours,60%,positive,28%,negative
Spellbound,48%,negative,47%,negative
Gunpowder Milkshake,60%,positive,48%,negative
The Do Over,9%,negative,42%,negative
My Friend Dahmer,85%,positive,61%,positive
Not Easily Broken,31%,negative,67%,positive
Haseen Dillruba,57%,negative,73%,positive
Before I Wake,67%,positive,48%,negative
Someone Great,84%,positive,65%,positive
Time Cut,26%,negative,32%,negative
Ultraman: Rising,86%,positive,91%,positive
Outside,80%,positive,52%,negative
The Bubble,20%,negative,30%,negative
Girl Haunts Boy,92%,positive,82%,positive
Isn't It Romantic,70%,positive,51%,negative
Animal Factory,83%,positive,59%,negative
Ip Man 3,76%,positive,73%,positive
The Package,37%,negative,50%,negative
Awe!,100%,positive,88%,positive
Outside the Wire,37%,negative,53%,negative
The Last Days of American Crime,0%,negative,22%,negative
Ip Man 4: The Finale,85%,positive,95%,positive
The Witcher: Sirens of the Deep,58%,negative,37%,negative
Blue Giant,100%,positive,98%,positive
Cunk on Life,100%,positive,81%,positive
The One,13%,negative,51%,negative
The Titan,21%,negative,15%,negative
We Can Be Heroes,76%,positive,40%,negative
Wallace & Gromit: The Curse of the Were-Rabbit,95%,positive,79%,positive
Hidden Strike,25%,negative,54%,negative
Tulip Fever,10%,negative,42%,negative
All Saints,95%,positive,72%,positive
Awake,22%,negative,26%,negative
All I See Is You,30%,negative,29%,negative
The Out-Laws,22%,negative,36%,negative
Bank of Dave,86%,positive,88%,positive
The Karate Kid Part II,49%,negative,52%,negative
Old Dads,27%,negative,83%,positive
I Used to be Funny,83%,positive,67%,positive
Clown,46%,negative,38%,negative
The Social Dilemma,84%,positive,83%,positive
Tin & Tina,63%,positive,23%,negative
Casper,59%,negative,51%,negative
The Last Letter From Your Lover,55%,negative,79%,positive
Viral,56%,negative,29%,negative
AfrAId,25%,negative,50%,negative
Beckett,49%,negative,34%,negative
Between the Temples,84%,positive,42%,negative
Our Souls at Night,91%,positive,76%,positive
Annie,49%,negative,69%,positive
Metal Lords,62%,positive,84%,positive
Fear Street Part Three: 1666,89%,positive,75%,positive
IO,33%,negative,19%,negative
The Paper Tigers,98%,positive,93%,positive
Aftermath,,,18%,negative
Asoka,100%,positive,69%,positive
The Wandering Earth,70%,positive,51%,negative
Sangre Del Toro,,,,
The Deepest Breath,85%,positive,93%,positive
The Holiday Calendar,33%,negative,43%,negative
Worth,81%,positive,75%,positive
El Conde,83%,positive,59%,negative
Irish Wish,41%,negative,42%,negative
Velvet Buzzsaw,61%,positive,36%,negative
War Machine,48%,negative,35%,negative
Bo Burnham: Inside,95%,positive,93%,positive
Dolly Parton's Christmas on the Square,64%,positive,52%,negative
Rim of the World,31%,negative,47%,negative
Timecop,43%,negative,39%,negative
Goosebumps 2: Haunted Halloween,48%,negative,37%,negative
Squad 36,,,,
The Beautiful Game,88%,positive,66%,positive
The Call,44%,negative,65%,positive
The Takeover,,,78%,positive
I Still Know What You Did Last Summer,10%,negative,29%,negative
On the Basis of Sex,72%,positive,76%,positive
Anon,38%,negative,36%,negative
Look Both Ways,62%,positive,72%,positive
Choose or Die,31%,negative,46%,negative
Happy Ending,57%,negative,58%,negative
She Said Maybe,,,,
The Water Horse: Legend of the Deep,74%,positive,62%,positive
The Bad Batch,45%,negative,30%,negative
Fatherhood,67%,positive,71%,positive
Gold,41%,negative,46%,negative
There's Someone Inside Your House,47%,negative,19%,negative
When the Game Stands Tall,21%,negative,72%,positive
Wine Country,66%,positive,33%,negative
I Am the Pretty Thing That Lives in the House,59%,negative,24%,negative
To the Bone,69%,positive,65%,positive
Passing,91%,positive,86%,positive
Athena,87%,positive,71%,positive
Secret Obsession,29%,negative,42%,negative
Big Momma's House 2,5%,negative,57%,negative
Gunjan Saxena: The Kargil Girl,100%,positive,26%,negative
Happy New Year,53%,negative,51%,negative
The Witcher: Nightmare of the Wolf,100%,positive,83%,positive
Wheelman,87%,positive,66%,positive
Senior Year,23%,negative,51%,negative
The Bad Guys: A Very Bad Holiday,,,44%,negative
The Breaker Upperers,89%,positive,51%,negative
I Am All Girls,,,66%,positive
Moxie,70%,positive,68%,positive
Kuch Kuch Hota Hai,80%,positive,92%,positive
Rebel Moon - Part Two: Director's Cut,67%,positive,76%,positive
Mea Culpa,18%,negative,36%,negative
Paddleton,89%,positive,87%,positive
After We Fell,8%,negative,40%,negative
High Flying Bird,91%,positive,49%,negative
Rescued by Ruby,88%,positive,86%,positive
Veer-Zaara,93%,positive,88%,positive
Blue Jay,91%,positive,78%,positive
Kinda Pregnant,28%,negative,28%,negative
Missing: The Lucie Blackman Case,86%,positive,79%,positive
My Dad's Christmas Date,,,34%,negative
UnBroken,,,100%,positive
K.O.,,,58%,negative
The Block Island Sound,90%,positive,44%,negative
The Willoughbys,92%,positive,66%,positive
22-Jul,80%,positive,69%,positive
Holiday Engagement,,,35%,negative
Athlete A,100%,positive,93%,positive
Christmas in the Heartland,,,63%,positive
Horse Girl,72%,positive,49%,negative
Lost Girls,72%,positive,50%,negative
Om Shanti Om,80%,positive,77%,positive
Yes Day,52%,negative,55%,negative
Your Lucky Day,90%,positive,54%,negative
Eloá the Hostage: Live on TV,,,,
If Anything Happens I Love You,100%,positive,93%,positive
Rez Ball,94%,positive,80%,positive
She's Gotta Have It,94%,positive,72%,positive
Poison,94%,positive,70%,positive
The Legend of Zorro,27%,negative,47%,negative
Rob Peace,75%,positive,94%,positive
Trigger Warning,20%,negative,16%,negative
First They Killed My Father,88%,positive,81%,positive
Dining With the Kapoors,,,,
Norm Macdonald: Nothing Special,100%,positive,85%,positive
Delicious,,,15%,negative
Vivo,86%,positive,74%,positive
Zero,31%,negative,80%,positive
Jewel Thief - The Heist Begins,5%,negative,,
Over the Moon,81%,positive,69%,positive
Stutz,96%,positive,96%,positive
Icarus,92%,positive,93%,positive
May the Devil Take You,79%,positive,58%,negative
The Karate Kid Part III,18%,negative,35%,negative
The Monkey King,56%,negative,63%,positive
The Perfect Find,72%,positive,79%,positive
Bulbbul,88%,positive,76%,positive
Sector 36,47%,negative,71%,positive
Take Care of Maya,93%,positive,93%,positive
The Big 4,100%,positive,82%,positive
Zindaji Na Milegi Dobara,89%,positive,86%,positive
Dear Zindagi,73%,positive,76%,positive
Slumberland,40%,negative,85%,positive
Tall Girl,42%,negative,23%,negative
Ajeeb Daastaans,100%,positive,65%,positive
Bajrangi Bhaijaan,88%,positive,87%,positive
Heart of Champions,31%,negative,72%,positive
Prey,20%,negative,6%,negative
The Babysitter: Killer Queen,46%,negative,57%,negative
The Kissing Booth 3,25%,negative,19%,negative
Wish Dragon,71%,positive,77%,positive
You Gotta Believe,55%,negative,91%,positive
Home Team,22%,negative,63%,positive
The Time That Remains,,,,
Hubie Halloween,54%,negative,49%,negative
The Princess Switch 3: Romancing the Star,57%,negative,42%,negative
The Swimmers,82%,positive,84%,positive
Thunder Force,22%,negative,23%,negative
Furioza,,,55%,negative
Spy Kids: Armageddon,54%,negative,40%,negative
A Sun,94%,positive,89%,positive
Chak De India,89%,positive,92%,positive
Dilwale,20%,negative,53%,negative
Humans in the Loop,,,,
AKA,90%,positive,74%,positive
The Storied Life of A.J. Fikry,35%,negative,88%,positive
Peter Rabbit,64%,positive,56%,negative
Prevenge,92%,positive,53%,negative
Scout's Honor: The Secret Files of the Boy Scouts of America,94%,positive,80%,positive
A Shaun the Sheep Movie: Farmageddon,96%,positive,79%,positive
Apollo 13: Survival,100%,positive,89%,positive
Found,95%,positive,87%,positive
Stolen: Heist of the Century,,,,
A Beautiful Life,43%,negative,82%,positive
Like Father,48%,negative,47%,negative
Race,64%,positive,77%,positive
Red Dot,75%,positive,32%,negative
The Other Side of the Wind,82%,positive,57%,negative
Wendell & Wild,80%,positive,64%,positive
Mission Majnu,25%,negative,61%,positive
The Rebound,41%,negative,47%,negative
Adam Sandler: Love You,92%,positive,67%,positive
Faraway,83%,positive,89%,positive
"Monica, O My Darling",81%,positive,89%,positive
Mute,20%,negative,47%,negative
Nyad,86%,positive,86%,positive
The Perfect Date,67%,positive,37%,negative
Aap Jaisa Koi,40%,negative,,
Back to the Outback,81%,positive,69%,positive
Hudson Hawk,30%,negative,56%,negative
The Angel,67%,positive,62%,positive
14 Peaks: Nothing Is Impossible,92%,positive,93%,positive
Alice,29%,negative,60%,positive
Blue Crush,62%,positive,58%,negative
Blue Mountain State: The Rise of Thadland,,,46%,negative
God's Crooked Lines,77%,positive,79%,positive
Infiesto,80%,positive,41%,negative
Inspector Zende,64%,positive,,
Boy Erased,80%,positive,74%,positive
Orgasm Inc.: The Story of OneTaste,83%,positive,40%,negative
The Lost Husband,57%,negative,61%,positive
Message From the King,50%,negative,50%,negative
Saaho,7%,negative,55%,negative
The Last Thing He Wanted,5%,negative,14%,negative
Songs from the Hole,88%,positive,,
Article 15,90%,positive,94%,positive
Next Gen,86%,positive,69%,positive
Night Raiders,83%,positive,47%,negative
American Factory,95%,positive,82%,positive
Butterfly in the Sky,100%,positive,90%,positive
The Boss Baby: Christmas Bonus,,,52%,negative
Tomorrow May Never Come,70%,positive,91%,positive
We Have Always Lived in the Castle,84%,positive,71%,positive
Dumplin',86%,positive,72%,positive
Raees,62%,positive,63%,positive
The Swan,95%,positive,73%,positive
Work It,85%,positive,75%,positive
A Little White Lie,35%,negative,76%,positive
"Crouching Tiger, Hidden Dragon: Sword of Destiny",25%,negative,39%,negative
Dracula,64%,positive,59%,negative
The Tinder Swindler,97%,positive,79%,positive
Good on Paper,53%,negative,38%,negative
Mountain Queen: The Summits of Lhakpa Sherpa,100%,positive,90%,positive
Circus of Books,98%,positive,79%,positive
Happiness for Beginners,35%,negative,52%,negative
Rustin,83%,positive,82%,positive
The Last: Naruto the Movie,,,82%,positive
The Mustang,95%,positive,76%,positive
We Have a Ghost,44%,negative,61%,positive
Inheritance,,,31%,negative
Sandy Wexler,27%,negative,39%,negative
See You Yesterday,93%,positive,38%,negative
Bleach,67%,positive,74%,positive
Pedro Páramo,77%,positive,76%,positive
Sundown,78%,positive,63%,positive
The Prom,54%,negative,61%,positive
Two Distant Strangers,94%,positive,60%,positive
13TH,97%,positive,90%,positive
Dil Dhadakne Do,68%,positive,72%,positive
Sly,81%,positive,85%,positive
The Menendez Brothers,,,74%,positive
"Game Over, Man!",19%,negative,50%,negative
Sanju,41%,negative,83%,positive
Swades,89%,positive,91%,positive
The Greatest Night in Pop,98%,positive,89%,positive
The Zookeeper's Wife,64%,positive,76%,positive
DEVO,85%,positive,,
Holiday Rush,,,43%,negative
My Father's Dragon,87%,positive,71%,positive
Welcome to Marwen,33%,negative,48%,negative
What Jennifer Did,55%,negative,43%,negative
A Love Song for Latasha,100%,positive,79%,positive
ARQ,43%,negative,47%,negative
Take Me Home Tonight,27%,negative,42%,negative
A California Christmas: City Lights,,,42%,negative
Little Evil,92%,positive,47%,negative
Players,53%,negative,44%,negative
Sarah Silverman: Postmortem,,,,
Talaash,86%,positive,65%,positive
You Get Me,,,26%,negative
Procession,98%,positive,82%,positive
Tyler Perry's A Madea Homecoming,36%,negative,74%,positive
Wild Wild Punjab,31%,negative,73%,positive
Find Me Falling,43%,negative,67%,positive
Sergio,44%,negative,70%,positive
Tau,30%,negative,49%,negative
The Hard Way,,,15%,negative
Us and Them,100%,positive,91%,positive
Blame!,,,60%,positive
Frybread Face and Me,96%,positive,81%,positive
Monster,,,90%,positive
Paws of Fury: The Legend of Hank,56%,negative,67%,positive
River Wild,77%,positive,37%,negative
Step Sisters,22%,negative,44%,negative
Student of the Year,50%,negative,49%,negative
Tramps,91%,positive,68%,positive
True Spirit,74%,positive,71%,positive
A Christmas Prince: The Royal Wedding,50%,negative,38%,negative
I Used to Be Famous,89%,positive,83%,positive
Kodachrome,74%,positive,72%,positive
Small Engine Repair,78%,positive,85%,positive
Titan: The OceanGate Disaster,74%,positive,66%,positive
Lakshya,,,85%,positive
The Sentinel,48%,negative,45%,negative
Trollhunters: Rise of the Titans,88%,positive,46%,negative
Victim/Suspect,79%,positive,74%,positive
Badla,63%,positive,75%,positive
Concrete Cowboy,80%,positive,70%,positive
Svaha: The Sixth Finger,,,76%,positive
Badrinath Ki Dulhania,80%,positive,61%,positive
Biggest Heist Ever,,,,
Bordertown,,,63%,positive
Code 8: Part II,73%,positive,63%,positive
Guest House,0%,negative,39%,negative
Karthik Calling Karthik,80%,positive,51%,negative
Shimmer Lake,67%,positive,59%,negative
The Devil on Trial,33%,negative,45%,negative
The True Memoirs of an International Assassin,0%,negative,43%,negative
Brahman Naman,70%,positive,46%,negative
Brother,87%,positive,80%,positive
Darlings,70%,positive,62%,positive
Don't Die: The Man Who Wants to Live Forever,75%,positive,52%,negative
"Love, Guaranteed",60%,positive,36%,negative
Murder at Yellowstone City,24%,negative,50%,negative
Rise of the Teenage Mutant Ninja Turtles: The Movie,79%,positive,93%,positive
Your Name Engraved Herein,89%,positive,91%,positive
Along for the Ride,58%,negative,81%,positive
Brazen,14%,negative,14%,negative
Leanne Morgan: Unspeakable Things,,,,
My Little Pony: A New Generation,92%,positive,79%,positive
A Normal Woman,,,,
Homunculus,,,32%,negative
Kabhi Alvida Naa Kehna,58%,negative,68%,positive
Pee-wee's Big Holiday,85%,positive,62%,positive
Bhool Bhulaiyaa,33%,negative,72%,positive
Chor Nikal Ke Bhaga,67%,positive,83%,positive
Don't Let Go,42%,negative,79%,positive
End Game,100%,positive,77%,positive
Hijack '93,,,,
Madame Claude,20%,negative,33%,negative
This Youth Is Crazy,70%,positive,65%,positive
Bubble,52%,negative,70%,positive
Martha,90%,positive,94%,positive
Money Shot: The Pornhub Story,84%,positive,66%,positive
The 8th Night,71%,positive,39%,negative
Billu Barber,60%,positive,47%,negative
Double Team,11%,negative,25%,negative
The Lovebirds,66%,positive,51%,negative
All Day and a Night,54%,negative,59%,negative
Behind the Curtain: Stranger Things The First Shadow,,,,
Between Two Ferns: The Movie,73%,positive,44%,negative
Chaos: The Manson Murders,56%,negative,22%,negative
Dave Chappelle: Sticks & Stones,42%,negative,98%,positive
Groom & Two Brides,,,,
New Gods: Nezha Reborn,80%,positive,90%,positive
Otherhood,30%,negative,71%,positive
Phir Aayi Hasseen Dillruba,38%,negative,54%,negative
Dil Se,60%,positive,80%,positive
Is That Black Enough for You?!?,100%,positive,63%,positive
Phir Bhi Dil Hai Hindustani,,,55%,negative
Small Crimes,65%,positive,33%,negative
The Incredible Jessica James,88%,positive,65%,positive
The Sleepover,67%,positive,71%,positive
A Jazzman's Blues,67%,positive,85%,positive
CTRL,44%,negative,58%,negative
The After Party,,,85%,positive
The Elephant Whisperers,100%,positive,89%,positive
Vampires vs. The Bronx,91%,positive,45%,negative
Outside In,96%,positive,80%,positive
To All the Boys: P.S. I Still Love You,78%,positive,41%,negative
Visaranai,100%,positive,97%,positive
A Week Away,61%,positive,89%,positive
Clinical,,,23%,negative
Duck Butter,55%,negative,40%,negative
End of the Road,32%,negative,16%,negative
Famous Last Words: Dr. Jane Goodall,,,,
He Never Died,88%,positive,65%,positive
To All the Boys: Always and Forever,79%,positive,58%,negative
iBoy,69%,positive,40%,negative
A Christmas Prince: The Royal Baby,36%,negative,40%,negative
Love Is in the Air,29%,negative,52%,negative
Mimi,25%,negative,91%,positive
The Saint of Second Chances,100%,positive,97%,positive
Audible,100%,positive,78%,positive
Camp Confidential: America's Secret Nazis,100%,positive,68%,positive
Dog Gone,43%,negative,67%,positive
Einstein and the Bomb,83%,positive,53%,negative
Skywalkers: A Love Story,75%,positive,94%,positive
What Did Jack Do?,93%,positive,71%,positive
Afterlife of the Party,59%,negative,71%,positive
Close to You,67%,positive,47%,negative
Matt Rife: Lucid - A Crowd Work Special,,,47%,negative
The Last Laugh,53%,negative,37%,negative
Dostana,81%,positive,68%,positive
Kill Tony: Kill or Be Killed,,,43%,negative
Ladies vs. Ricky Bahl,67%,positive,38%,negative
Student of the Year 2,6%,negative,21%,negative
The Black Book,,,71%,positive
The Boys in the Band,85%,positive,74%,positive
Voyeur,79%,positive,60%,positive
Yara,,,50%,negative
Chalte Chalte,,,72%,positive
Coffee & Kareem,21%,negative,30%,negative
Disclosure,98%,positive,85%,positive
Father of the Year,0%,negative,50%,negative
Sweet Bobby: My Catfish Nightmare,70%,positive,45%,negative
The Week Of,26%,negative,35%,negative
Thelma the Unicorn,60%,positive,42%,negative
A Futile and Stupid Gesture,67%,positive,71%,positive
Dude,,,36%,negative
Hannah Gadsby: Nanette,100%,positive,26%,negative
Hell Camp: Teen Nightmare,80%,positive,50%,negative
Mascots,48%,negative,36%,negative
TEST,18%,negative,,
Wild Is the Wind,,,64%,positive
A Perfect Pairing,50%,negative,67%,positive
Amanda Knox,82%,positive,71%,positive
Fatal Affair,18%,negative,17%,negative
Gerry Dee: Funny You Should Say That,,,,
Matt Rife: Natural Selection,,,19%,negative
Michelle Wolf: The Well,,,,
"Pamela, a Love Story",96%,positive,92%,positive
Pangolin: Kulu's Journey,,,,
Penguin Bloom,66%,positive,78%,positive
Shane Gillis: Beautiful Dogs,,,92%,positive
The Hatchet Wielding Hitchhiker,93%,positive,45%,negative
The Loud House Movie,,,60%,positive
The Royal Treatment,35%,negative,39%,negative
Uncorked,94%,positive,63%,positive
Barry,80%,positive,50%,negative
BigBug,47%,negative,72%,positive
Chamatkar,,,53%,negative
Kathal: A Jackfruit Mystery,73%,positive,75%,positive
Lolo and the Kid,100%,positive,88%,positive
The Magician's Elephant,66%,positive,79%,positive
Think Like a Man Too,23%,negative,59%,negative
American Symphony,94%,positive,74%,positive
Murder Mubarak,63%,positive,49%,negative
Simón,92%,positive,94%,positive
Ali Wong: Baby Cobra,100%,positive,75%,positive
America: The Motion Picture,34%,negative,42%,negative
Guru,92%,positive,84%,positive
Jab Harry Met Sejal,29%,negative,51%,negative
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",92%,positive,87%,positive
Khufiya,59%,negative,40%,negative
Meenakshi Sundareshwar,40%,negative,50%,negative
Nadaaniyan,12%,negative,26%,negative
Toscana,83%,positive,42%,negative
Woody Woodpecker Goes to Camp,20%,negative,55%,negative
Beast,43%,negative,60%,positive
Blue Miracle,68%,positive,74%,positive
Britain and the Blitz,,,,
Feel the Beat,53%,negative,55%,negative
Ghosts of Sugar Land,100%,positive,50%,negative
Green Snake,,,70%,positive
Kick,43%,negative,53%,negative
Ludo,75%,positive,80%,positive
Shark Night,19%,negative,22%,negative
Dangerous Lies,24%,negative,35%,negative
Dave Chappelle: The Dreamer,20%,negative,82%,positive
One of Us,96%,positive,83%,positive
Ramjane,,,44%,negative
Avicii - I'm Tim,,,95%,positive
Dick Johnson Is Dead,99%,positive,78%,positive
Hands of Stone,44%,negative,52%,negative
Inside the Mind of a Dog,,,77%,positive
Lionheart,100%,positive,65%,positive
Matt McCusker: A Humble Offering,,,,
Schumacher,60%,positive,71%,positive
Silver Skates,40%,negative,86%,positive
The Last Summer,33%,negative,31%,negative
Wedding Season,88%,positive,66%,positive
6 Balloons,86%,positive,56%,negative
Bitconned,100%,positive,67%,positive
Cuba and the Cameraman,100%,positive,93%,positive
Falling Inn Love,71%,positive,55%,negative
Love. Wedding. Repeat,35%,negative,38%,negative
When We First Met,45%,negative,58%,negative
An Action Hero,85%,positive,72%,positive
Close,35%,negative,36%,negative
Deep Fear,,,29%,negative
Into the Inferno,92%,positive,73%,positive
Kingdom of Us,100%,positive,83%,positive
Malang,44%,negative,80%,positive
Mo Amer: Wild World,,,,
The Sand Castle,,,66%,positive
Jai Ho,14%,negative,47%,negative
Rattlesnake,32%,negative,17%,negative
Sing: Thriller,,,,
The Kissing Booth 2,29%,negative,38%,negative
Tune in for Love,,,75%,positive
A True Gentleman,,,,
Biggie: I Got a Story to Tell,78%,positive,82%,positive
Capturing the Killer Nurse,71%,positive,54%,negative
Don,,,79%,positive
Handsome: A Netflix Mystery Movie,,,32%,negative
Irreplaceable You,33%,negative,60%,positive
Jacqueline Novak: Get on Your Knees,100%,positive,76%,positive
Love in the Villa,32%,negative,53%,negative
Main Hoon Na,,,82%,positive
Mother of the Bride,13%,negative,19%,negative
My Big Fat Greek Wedding 2,28%,negative,52%,negative
My Suicide,50%,negative,81%,positive
Nayattu,100%,positive,91%,positive
The Twister: Caught in the Storm,,,78%,positive
Agneepath,93%,positive,62%,positive
Alex Strangelove,84%,positive,68%,positive
Bo Burnham: Make Happy,100%,positive,91%,positive
Eddie Murphy Raw,79%,positive,85%,positive
Finding 'Ohana,81%,positive,80%,positive
Jim Jefferies: Two Limb Policy,,,44%,negative
Ok Jaanu,38%,negative,42%,negative
Rebel Royals: An Unlikely Love Story,,,,
The Legacy of a Whitetail Deer Hunter,25%,negative,43%,negative
The Roast of Tom Brady,,,66%,positive
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,92%,positive,81%,positive
The Battered Bastards of Baseball,100%,positive,94%,positive
A Heartland Christmas,,,91%,positive
Chupa,71%,positive,57%,negative
Heart of the Hunter,80%,positive,43%,negative
Oklahoma City Bombing: American Terror,,,,
Pray Away,92%,positive,78%,positive
Sierra Burgess Is a Loser,58%,negative,29%,negative
Tallulah,85%,positive,69%,positive
The Polka King,66%,positive,50%,negative
The Quilters,,,,
The Soul,,,81%,positive
The Yin-Yang Master: Dream of Eternity,43%,negative,83%,positive
Tubelight,29%,negative,49%,negative
Udta Punjab,92%,positive,76%,positive
Wedding Planners,,,70%,positive
Chasing Coral,100%,positive,89%,positive
Fistful of Vengeance,45%,negative,66%,positive
Ginny Weds Sunny,17%,negative,65%,positive
Major Grom: Plague Doctor,,,85%,positive
Man on the Run,93%,positive,72%,positive
Minnal Murali,75%,positive,94%,positive
Nate Bargatze: The Greatest Average American,100%,positive,86%,positive
Our Father,80%,positive,61%,positive
Return of the King: The Fall and Rise of Elvis Presley,75%,positive,89%,positive
Sextuplets,21%,negative,39%,negative
The Most Beautiful Girl in the World,,,,
Trailer Park Boys: The Movie,57%,negative,77%,positive
Unicorn Store,66%,positive,43%,negative
A Tourist's Guide to Love,72%,positive,65%,positive
Animal Crackers,67%,positive,76%,positive
Benji,56%,negative,70%,positive
Con Mum,,,,
Gunday,56%,negative,9%,negative
Headshot,73%,positive,57%,negative
Joe Rogan: Burn the Boats,0%,negative,41%,negative
Kill 'Em All 2,,,,
Mixtape,100%,positive,78%,positive
Point Blank,41%,negative,31%,negative
Royalteen,33%,negative,34%,negative
Special Correspondents,16%,negative,31%,negative
The Ghazi Attack,67%,positive,77%,positive
The Seduction of Joe Tynan,75%,positive,38%,negative
What the Health,,,62%,positive
Ae Dil Hai Mushkil,53%,negative,43%,negative
Downfall: The Case Against Boeing,91%,positive,90%,positive
Duck Duck Goose,,,39%,negative
Goyo,86%,positive,85%,positive
Join or Die,95%,positive,,
Lewis Capaldi: How I'm Feeling Now,89%,positive,99%,positive
Shirley,75%,positive,68%,positive
Tall Girl 2,71%,positive,29%,negative
Andhaghaaram,67%,positive,80%,positive
Boruto: Naruto the Movie,,,91%,positive
Disaster Holiday,,,,
Gnome Alone,,,46%,negative
Life in a ... Metro,40%,negative,78%,positive
Military Wives,77%,positive,51%,negative
Nuovo Olimpio,80%,positive,86%,positive
The Gospel,32%,negative,75%,positive
The Soccer Football Movie,,,24%,negative
Virunga,100%,positive,93%,positive
XOXO,71%,positive,52%,negative
Duplicate,,,50%,negative
Jungle Beat: The Movie,,,77%,positive
Kadaisi Nodigal,25%,negative,96%,positive
Love Aaj Kal,20%,negative,41%,negative
Noise,,,9%,negative
Poisoned: The Dirty Truth About Your Food,100%,positive,71%,positive
"Bon Cop, Bad Cop",80%,positive,82%,positive
English Babu Desi Mem,,,37%,negative
Misha and the Wolves,86%,positive,74%,positive
The Archies,61%,positive,80%,positive
The Girl on the Train,8%,negative,23%,negative
A Family,83%,positive,90%,positive
"Hello, Goodbye, and Everything in Between",32%,negative,32%,negative
Kidnapping Stella,,,29%,negative
The Courier,10%,negative,21%,negative
Wham!,89%,positive,88%,positive
6 Years,69%,positive,34%,negative
Ali Wong: Hard Knock Wife,100%,positive,68%,positive
Amy Schumer: Emergency Contact,100%,positive,15%,negative
Ascharyachakit!,,,,
Bharat,30%,negative,53%,negative
Chaahat,,,50%,negative
Ghost Stories,36%,negative,18%,negative
Homecoming: A Film by Beyoncé,98%,positive,87%,positive
Pandora,,,71%,positive
Race 3,13%,negative,18%,negative
Sosyal Climbers,,,,
The Disciple,96%,positive,67%,positive
The Great Hack,85%,positive,67%,positive
The Most Hated Woman in America,40%,negative,41%,negative
Ali's Wedding,92%,positive,77%,positive
Altered Carbon: Resleeved,60%,positive,52%,negative
Babo: The Haftbefehl Story,,,,
Dave Chappelle: The Closer,40%,negative,95%,positive
David Brent: Life on the Road,57%,negative,47%,negative
Don 2,63%,positive,72%,positive
Eerie,,,44%,negative
"Frankenstein's Monster's Monster, Frankenstein",89%,positive,63%,positive
Isi & Ossi,,,72%,positive
Kaal,,,45%,negative
Knock Down the House,99%,positive,11%,negative
Love & Gelato,20%,negative,19%,negative
"Love, Charlie: The Rise and Fall of Chef Charlie Trotter",90%,positive,99%,positive
Nice Girls,,,,
Notebook,22%,negative,92%,positive
Panipat - The Great Betrayal,40%,negative,65%,positive
Phil,27%,negative,39%,negative
Roxanne Roxanne,68%,positive,62%,positive
Shirkers,99%,positive,80%,positive
The Bad Guys: Haunted Heist,,,51%,negative
The Loneliest Whale: The Search for 52,88%,positive,77%,positive
The Truth About Jussie Smollett?,67%,positive,20%,negative
Time to Hunt,69%,positive,62%,positive
Anne+: The Film,,,40%,negative
Catching Feelings,100%,positive,58%,negative
Dhamaka,38%,negative,56%,negative
Double World,,,64%,positive
Ek Ladki Ko Dekha Toh Aisa Laga,71%,positive,66%,positive
Ferry,,,79%,positive
It Was Always You,,,88%,positive
Paheli,63%,positive,66%,positive
Seal Team,,,66%,positive
Sentinelle,70%,positive,49%,negative
13: The Musical,58%,negative,36%,negative
Adam Sandler: 100% Fresh,90%,positive,91%,positive
Air Force Elite: Thunderbirds,,,,
Girl,84%,positive,75%,positive
John Mulaney: Baby J,86%,positive,74%,positive
Jordan Jensen: Take Me With You,,,,
Qala,80%,positive,81%,positive
Sabrina,,,43%,negative
